id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr,home_last_point_diff,away_last_point_diff,game_date,homeTeamRank,awayTeamRank,isRankedMatchup,capacity
401762516,2025,14,regular,2025-11-28 00:30:00+00:00,False,False,False,True,,3805.0,Simmons Bank Liberty Stadium,235,Memphis Tigers,fbs,American Athletic,,,,1660.0,,2426,Navy Midshipmen,fbs,American Athletic,,,,1485.0,,,,,2025-11-27,Thursday,2025-11-27 19:30:00-05:00,21.0,19.0,2025-11-27,,,False,62380
401762871,2025,14,regular,2025-11-28 17:00:00+00:00,False,False,False,True,,3764.0,Huskie Stadium,2459,Northern Illinois Huskies,fbs,Mid-American,,,,1252.0,,2309,Kent State Golden Flashes,fbs,Mid-American,,,,957.0,,,,,2025-11-28,Friday,2025-11-28 12:00:00-05:00,-11.0,-3.0,2025-11-28,,,False,25000.0
401762870,2025,14,regular,2025-11-28 17:00:00+00:00,False,False,False,True,,3965.0,UB Stadium,2084,Buffalo Bulls,fbs,Mid-American,,,,1278.0,,195,Ohio Bobcats,fbs,Mid-American,,,,1608.0,,,,,2025-11-28,Friday,2025-11-28 12:00:00-05:00,3.0,-28.0,2025-11-28,,,False,25013
401756964,2025,14,regular,2025-11-28 17:00:00+00:00,False,False,False,True,,3833.0,Memorial Stadium,2305,Kansas Jayhawks,fbs,Big 12,,,,1554.0,,254,Utah Utes,fbs,Big 12,,,,1977.0,,,,,2025-11-28,Friday,2025-11-28 12:00:00-05:00,-11.0,3.0,2025-11-28,,13.0,False,52959
401752916,2025,14,regular,2025-11-28 17:00:00+00:00,False,False,False,True,,3834.0,"Memorial Stadium (Lincoln, NE)",158,Nebraska Cornhuskers,fbs,Big Ten,,,,1648.0,,2294,Iowa Hawkeyes,fbs,Big Ten,,,,1907.0,,,,,2025-11-28,Friday,2025-11-28 12:00:00-05:00,68.0,40.0,2025-11-28,,20.0,False,85458.0
401752788,2025,14,regular,2025-11-28 17:00:00+00:00,False,False,False,True,,3693.0,Davis Wade Stadium,344,Mississippi State Bulldogs,fbs,SEC,,,,1492.0,,145,Mississippi Rebels,fbs,SEC,,,,1959.0,,,,,2025-11-28,Friday,2025-11-28 12:00:00-05:00,4.0,6.0,2025-11-28,,6.0,False,61337.0
401760421,2025,14,regular,2025-11-28 20:00:00+00:00,False,False,False,True,,5388.0,Canvas Stadium,36,Colorado State,fbs,Mountain West,,,,1223.0,,2005,Air Force Falcons,fbs,Mountain West,,,,1383.0,,,,,2025-11-28,Friday,2025-11-28 15:00:00-05:00,-17.0,-19.0,2025-11-28,,,False,50183.0
401762442,2025,14,regular,2025-11-28 20:30:00+00:00,False,False,False,True,,3825.0,DATCU Stadium,249,North Texas Mean Green,fbs,American Athletic,,,,1716.0,,218,Temple Owls,fbs,American Athletic,,,,1266.0,,,,,2025-11-28,Friday,2025-11-28 15:30:00-05:00,49.0,-39.0,2025-11-28,,,False,30850
401760426,2025,14,regular,2025-11-28 20:30:00+00:00,False,False,False,True,,3971.0,University Stadium (NM),167,New Mexico Lobos,fbs,Mountain West,,,,1458.0,,21,San Diego State Aztecs,fbs,Mountain West,,,,1507.0,,,,,2025-11-28,Friday,2025-11-28 15:30:00-05:00,25.0,-23.0,2025-11-28,,,False,39224.0
401752786,2025,14,regular,2025-11-28 20:30:00+00:00,False,False,True,False,,5348.0,Mercedes-Benz Stadium,59,Georgia Tech Yellow Jackets,fbs,ACC,,,,1599.0,,61,Georgia Bulldogs,fbs,SEC,,,,2070.0,,,,,2025-11-28,Friday,2025-11-28 15:30:00-05:00,3.0,3.0,2025-11-28,17.0,5.0,True,55000.0
401760422,2025,14,regular,2025-11-28 21:00:00+00:00,False,False,False,True,,3905.0,Maverik Stadium,328,Utah State Aggies,fbs,Mountain West,,,,1423.0,,68,Boise State Broncos,fbs,Mountain West,,,,1589.0,,,,,2025-11-28,Friday,2025-11-28 16:00:00-05:00,19.0,-27.0,2025-11-28,,,False,25513.0
401752924,2025,14,regular,2025-11-29 00:30:00+00:00,False,False,False,True,,3907.0,Ross-Ade Stadium,2509,Purdue Boilermakers,fbs,Big Ten,,,,1276.0,,84,Indiana Hoosiers,fbs,Big Ten,,,,2142.0,,,,,2025-11-28,Friday,2025-11-28 19:30:00-05:00,-16.0,47.0,2025-11-28,,2.0,False,61441.0
401752792,2025,14,regular,2025-11-29 00:30:00+00:00,False,False,False,True,,3910.0,DKR-Texas Memorial Stadium,251,Texas Longhorns,fbs,SEC,,,,1872.0,,245,Texas A&M Aggies,fbs,SEC,,,,1896.0,,,,,2025-11-28,Friday,2025-11-28 19:30:00-05:00,17.0,1.0,2025-11-28,11.0,3.0,True,100119.0
401756961,2025,14,regular,2025-11-29 02:00:00+00:00,False,False,False,True,,3947.0,Mountain America Stadium,9,Arizona State Sun Devils,fbs,Big 12,,,,1614.0,,12,Arizona Wildcats,fbs,Big 12,,,,1592.0,,,,,2025-11-28,Friday,2025-11-28 21:00:00-05:00,19.0,6.0,2025-11-28,,,False,56232.0
