id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,startDateEastern,dayOfWeek,kickoffTimeStr
401752798,2025,1,regular,2025-08-30 23:30:00+00:00,False,False,False,False,,477,Los Angeles Memorial Coliseum,30,USC,fbs,Big Ten,,,,1676.0,,2623,Missouri State,fbs,Conference USA,,,,1500.0,,,,,2025-08-30,Saturday,7:30 PM
401757221,2025,1,regular,2025-08-30 23:30:00+00:00,False,False,False,False,,3776,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,,,,1397.0,,2545,SE Louisiana,fcs,Southland,,,,,,,,,2025-08-30,Saturday,7:30 PM
401757225,2025,1,regular,2025-08-30 23:30:00+00:00,False,False,False,False,,3905,Maverik Stadium,328,Utah State,fbs,Mountain West,,,,1408.0,,2638,UTEP,fbs,Conference USA,,,,1240.0,,,,,2025-08-30,Saturday,7:30 PM
401756877,2025,1,regular,2025-08-30 23:30:00+00:00,False,False,False,False,,3784,Jones AT&T Stadium,2641,Texas Tech,fbs,Big 12,,,,1571.0,,2029,Arkansas-Pine Bluff,fcs,SWAC,,,,,,,,,2025-08-30,Saturday,7:30 PM
401752671,2025,1,regular,2025-08-30 23:30:00+00:00,False,False,False,False,,3836,"Memorial Stadium (Clemson, SC)",228,Clemson,fbs,ACC,,,,1704.0,,99,LSU,fbs,SEC,,,,1718.0,,,,,2025-08-30,Saturday,7:30 PM
401752808,2025,1,regular,2025-08-30 23:30:00+00:00,False,False,False,False,,3558,Michigan Stadium,130,Michigan,fbs,Big Ten,,,,1772.0,,167,New Mexico,fbs,Mountain West,,,,1331.0,,,,,2025-08-30,Saturday,7:30 PM
401752672,2025,1,regular,2025-08-30 23:45:00+00:00,False,False,False,False,,3974,Vaught-Hemingway Stadium,145,Ole Miss,fbs,SEC,,,,1838.0,,2247,Georgia State,fbs,Sun Belt,,,,1331.0,,,,,2025-08-30,Saturday,7:45 PM
401756851,2025,1,regular,2025-08-31 00:00:00+00:00,False,False,False,False,,3801,LaVell Edwards Stadium,252,BYU,fbs,Big 12,,,,1644.0,,2502,Portland State,fcs,Big Sky,,,,,,,,,2025-08-30,Saturday,8:00 PM
401762435,2025,1,regular,2025-08-31 00:00:00+00:00,False,False,False,False,,3825,DATCU Stadium,249,North Texas,fbs,American Athletic,,,,1411.0,,2320,Lamar,fcs,Southland,,,,,,,,,2025-08-30,Saturday,8:00 PM
401762457,2025,1,regular,2025-08-31 00:00:00+00:00,False,False,False,False,,3674,Chapman Stadium,202,Tulsa,fbs,American Athletic,,,,1041.0,,2000,Abilene Christian,fcs,UAC,,,,,,,,,2025-08-30,Saturday,8:00 PM
401761592,2025,1,regular,2025-08-31 00:00:00+00:00,False,False,False,False,,3666,Cajun Field,309,Louisiana,fbs,Sun Belt,,,,1474.0,,242,Rice,fbs,American Athletic,,,,1326.0,,,,,2025-08-30,Saturday,8:00 PM
401761594,2025,1,regular,2025-08-31 00:00:00+00:00,False,False,False,False,,3644,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,,,,1593.0,,2199,Eastern Michigan,fbs,Mid-American,,,,1283.0,,,,,2025-08-30,Saturday,8:00 PM
